instance,method,seed_per_agent,feasible,objective_ratio,proposed_objective_ratio,max_violation,disclosed_constraints,rounds
185,adaptive_8,8,True,0.9999999999999996,0.9999999999999996,1.1102230246251565e-16,46,3
185,full_disclosure,18,True,1.0,1.0,1.1102230246251565e-16,90,1
186,static_1,1,False,,1.9387113396114717,0.6833488467132669,5,1
186,adaptive_1,1,True,1.0000000000000002,1.0000000000000002,0.0,22,6
186,static_2,2,False,,1.7886824562488435,0.6453612843815897,10,1
186,adaptive_2,2,True,1.0,1.0,2.220446049250313e-16,30,6
186,static_4,4,False,,1.196806324727053,0.334595730174979,20,1
186,adaptive_4,4,True,1.0,1.0,2.220446049250313e-16,27,4
186,static_8,8,False,,1.101894446491471,0.20092357614941292,40,1
186,adaptive_8,8,True,1.0,1.0,0.0,44,3
186,full_disclosure,18,True,1.0,1.0,0.0,90,1
187,static_1,1,False,,1.4863435207188775,0.5205593446743066,5,1
187,adaptive_1,1,True,1.0000000000000004,1.0000000000000004,4.440892098500626e-16,23,5
187,static_2,2,False,,1.2495212608921864,0.43436248831182356,10,1
187,adaptive_2,2,True,1.0000000000000002,1.0000000000000002,3.3306690738754696e-16,25,5
187,static_4,4,False,,1.2551283259614778,0.3947225706669366,20,1
187,adaptive_4,4,True,1.0000000000000002,1.0000000000000002,3.3306690738754696e-16,38,5
187,static_8,8,False,,1.0063470413136602,0.08221649150517357,40,1
187,adaptive_8,8,True,1.0,1.0,2.220446049250313e-16,45,4
187,full_disclosure,18,True,1.0,1.0,5.551115123125783e-17,90,1
188,static_1,1,False,,1.677958245726133,0.6237494366017201,5,1
188,adaptive_1,1,True,1.0,1.0,5.551115123125783e-17,23,6
188,static_2,2,False,,1.3704813489193561,0.5604122020616142,10,1
188,adaptive_2,2,True,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,31,6
188,static_4,4,False,,1.3011304929537648,0.2969378294471856,20,1
188,adaptive_4,4,True,1.0,1.0,8.881784197001252e-16,38,5
188,static_8,8,False,,1.1427176730168234,0.15880274038363662,40,1
188,adaptive_8,8,True,0.9999999999999998,0.9999999999999998,0.0,46,3
188,full_disclosure,18,True,1.0,1.0,8.326672684688674e-16,90,1
189,static_1,1,False,,1.8201178598931926,0.8552677507721825,5,1
189,adaptive_1,1,True,1.0000000000000002,1.0000000000000002,4.440892098500626e-16,22,5
189,static_2,2,False,,1.4665158865562549,0.618094592783723,10,1
189,adaptive_2,2,True,0.9999999999999999,0.9999999999999999,1.1102230246251565e-16,27,5
189,static_4,4,False,,1.0765701079521475,0.16574352238891332,20,1
189,adaptive_4,4,True,0.9999999999999999,0.9999999999999999,3.3306690738754696e-16,29,5
189,static_8,8,False,,1.0336925525106406,0.11596166245634942,40,1
189,adaptive_8,8,True,1.0000000000000002,1.0000000000000002,3.3306690738754696e-16,46,4
189,full_disclosure,18,True,1.0,1.0,4.440892098500626e-16,90,1
190,static_1,1,False,,1.3003156723982094,0.56210598026392,5,1
190,adaptive_1,1,True,0.9999999999999998,0.9999999999999998,0.0,16,4
190,static_2,2,False,,1.4284832714658533,0.30980293733348263,10,1
190,adaptive_2,2,True,1.0,1.0,1.1102230246251565e-16,22,5
190,static_4,4,False,,1.093298128190612,0.13479845261549783,20,1
190,adaptive_4,4,True,1.0,1.0,4.440892098500626e-16,25,3
190,static_8,8,False,,1.0095464192196257,0.01857819342356054,40,1
190,adaptive_8,8,True,1.0,1.0,1.6653345369377348e-16,42,2
190,full_disclosure,18,True,1.0,1.0,3.3306690738754696e-16,90,1
191,static_1,1,False,,1.4287337315828101,0.7055506466345343,5,1
191,adaptive_1,1,True,1.000000000000001,1.000000000000001,2.220446049250313e-16,20,5
191,static_2,2,False,,1.3338463633760866,0.4241934139551007,10,1
191,adaptive_2,2,True,1.0000000000000007,1.0000000000000007,-1.1102230246251565e-16,25,5
191,static_4,4,False,,1.2919874530812507,0.3553386855895413,20,1
191,adaptive_4,4,True,1.0000000000000007,1.0000000000000007,1.1102230246251565e-16,35,5
191,static_8,8,False,,1.0163453807935219,0.055447629729196035,40,1
191,adaptive_8,8,True,1.0000000000000007,1.0000000000000007,2.220446049250313e-16,43,3
191,full_disclosure,18,True,1.0,1.0,1.1102230246251565e-16,90,1
192,static_1,1,False,,1.4698166483528479,0.5930562683188207,5,1
192,adaptive_1,1,True,1.0000000000000002,1.0000000000000002,2.220446049250313e-16,27,7
192,static_2,2,False,,1.455388880483535,0.5912723837601034,10,1
192,adaptive_2,2,True,0.9999999999999998,0.9999999999999998,1.1102230246251565e-16,26,6
192,static_4,4,False,,1.1955424831724155,0.23615916747563193,20,1
192,adaptive_4,4,True,0.9999999999999998,0.9999999999999998,4.440892098500626e-16,30,4
192,static_8,8,False,,1.0838841617748294,0.1119793848569487,40,1
192,adaptive_8,8,True,1.0000000000000002,1.0000000000000002,2.220446049250313e-16,50,4
192,full_disclosure,18,True,1.0,1.0,3.3306690738754696e-16,90,1
193,static_1,1,False,,1.8786487772527478,0.850353482557501,5,1
193,adaptive_1,1,True,1.0000000000000002,1.0000000000000002,3.3306690738754696e-16,23,5
193,static_2,2,False,,1.628842213633389,0.6644931286302052,10,1
193,adaptive_2,2,True,0.9999999999999993,0.9999999999999993,0.0,27,5
193,static_4,4,False,,1.1768967934883379,0.3648418774402474,20,1
193,adaptive_4,4,True,1.0,1.0,4.440892098500626e-16,31,4
193,static_8,8,False,,1.0889951218584717,0.11693927835526408,40,1
193,adaptive_8,8,True,1.0000000000000007,1.0000000000000007,4.440892098500626e-16,49,4
193,full_disclosure,18,True,1.0,1.0,1.1102230246251565e-16,90,1
194,static_1,1,False,,1.6233281007600524,0.8133780526823771,5,1
194,adaptive_1,1,True,0.9999999999999999,0.9999999999999999,4.440892098500626e-16,22,5
194,static_2,2,False,,1.2903011178009007,0.5140574346785778,10,1
194,adaptive_2,2,True,0.9999999999999999,0.9999999999999999,1.1102230246251565e-16,23,5
194,static_4,4,False,,1.0842471555731485,0.17282989398696946,20,1
194,adaptive_4,4,True,1.0,1.0,3.3306690738754696e-16,31,4
194,static_8,8,False,,1.05544965364344,0.09213309852217,40,1
194,adaptive_8,8,True,0.9999999999999999,0.9999999999999999,0.0,48,4
194,full_disclosure,18,True,1.0,1.0,9.992007221626409e-16,90,1
195,static_1,1,False,,1.404549318716767,0.6613429371929956,5,1
195,adaptive_1,1,True,0.9999999999999997,0.9999999999999997,4.440892098500626e-16,26,6
195,static_2,2,False,,1.3513423055592488,0.5412402330276787,10,1
195,adaptive_2,2,True,0.9999999999999993,0.9999999999999993,3.3306690738754696e-16,30,6
195,static_4,4,False,,1.1281232993889236,0.25868120564768743,20,1
195,adaptive_4,4,True,0.9999999999999997,0.9999999999999997,4.440892098500626e-16,35,5
195,static_8,8,False,,1.0666547995320717,0.07238810759730718,40,1
195,adaptive_8,8,True,0.9999999999999993,0.9999999999999993,5.551115123125783e-16,47,3
195,full_disclosure,18,True,1.0,1.0,9.992007221626409e-16,90,1
196,static_1,1,False,,1.1438641958119073,0.43077775977324007,5,1
196,adaptive_1,1,True,0.9999999999999997,0.9999999999999997,3.3306690738754696e-16,21,5
196,static_2,2,False,,1.4900167669267088,0.5074330273228637,10,1
196,adaptive_2,2,True,1.0,1.0,5.551115123125783e-16,22,4
196,static_4,4,False,,1.1706504340654487,0.373814868944097,20,1
196,adaptive_4,4,True,0.9999999999999998,0.9999999999999998,3.3306690738754696e-16,30,5
196,static_8,8,False,,1.0279952084186903,0.20853734651254546,40,1
196,adaptive_8,8,True,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,44,3
196,full_disclosure,18,True,1.0,1.0,4.440892098500626e-16,90,1
197,static_1,1,False,,1.8848652653313251,0.6370875090656248,5,1
197,adaptive_1,1,True,0.9999999999999988,0.9999999999999988,1.1102230246251565e-16,25,7
197,static_2,2,False,,1.3517150038300842,0.4017072260206458,10,1
197,adaptive_2,2,True,0.9999999999999986,0.9999999999999986,4.440892098500626e-16,26,6
197,static_4,4,False,,1.1514903584561142,0.3274362364802009,20,1
197,adaptive_4,4,True,0.9999999999999984,0.9999999999999984,0.0,32,5
197,static_8,8,False,,1.1423769295238975,0.18627341139973808,40,1
197,adaptive_8,8,True,0.9999999999999989,0.9999999999999989,1.6653345369377348e-16,47,3
197,full_disclosure,18,True,1.0,1.0,1.6653345369377348e-15,90,1
198,static_1,1,False,,1.7864095536117959,0.7128511692503242,5,1
198,adaptive_1,1,True,0.9999999999999999,0.9999999999999999,0.0,23,6
198,static_2,2,False,,1.6308705913962185,0.5486282498738494,10,1
198,adaptive_2,2,True,0.9999999999999997,0.9999999999999997,7.771561172376096e-16,27,6
198,static_4,4,False,,1.2096991862072688,0.23278309388234253,20,1
198,adaptive_4,4,True,0.9999999999999997,0.9999999999999997,0.0,31,6
198,static_8,8,False,,1.1161028145307959,0.3471654078526818,40,1
198,adaptive_8,8,True,0.9999999999999999,0.9999999999999999,1.1102230246251565e-16,46,3
198,full_disclosure,18,True,1.0,1.0,4.440892098500626e-16,90,1
199,static_1,1,False,,1.7520389931618439,0.9399634286114269,5,1
199,adaptive_1,1,True,0.9999999999999997,0.9999999999999997,4.996003610813204e-16,22,6
199,static_2,2,False,,1.2609987234770914,0.2752440904935961,10,1
199,adaptive_2,2,True,1.0000000000000004,1.0000000000000004,6.106226635438361e-16,26,5
199,static_4,4,False,,1.1934814906538238,0.24279738946577223,20,1
199,adaptive_4,4,True,1.0000000000000002,1.0000000000000002,1.1102230246251565e-15,34,4
199,static_8,8,False,,1.049803764531179,0.1305570737179606,40,1
199,adaptive_8,8,True,1.0000000000000004,1.0000000000000004,1.6653345369377348e-16,44,3
199,full_disclosure,18,True,1.0,1.0,4.440892098500626e-16,90,1
200,static_1,1,False,,1.5908037493803648,0.7427366498736352,5,1
200,adaptive_1,1,True,1.0000000000000002,1.0000000000000002,1.1102230246251565e-16,21,6
200,static_2,2,False,,1.2589917406531221,0.5547009680976717,10,1
200,adaptive_2,2,True,1.0000000000000002,1.0000000000000002,4.440892098500626e-16,25,5
200,static_4,4,False,,1.0880489377849014,0.3885236417623775,20,1
200,adaptive_4,4,True,1.0000000000000002,1.0000000000000002,4.440892098500626e-16,30,4
200,static_8,8,False,,1.0372048242525425,0.11638223733349862,40,1
200,adaptive_8,8,True,1.0000000000000004,1.0000000000000004,6.661338147750939e-16,48,4
200,full_disclosure,18,True,1.0,1.0,3.3306690738754696e-16,90,1
201,static_1,1,False,,1.4546343484513133,0.6306016872939296,5,1
201,adaptive_1,1,True,1.0,1.0,3.3306690738754696e-16,19,5
201,static_2,2,False,,1.195422563836598,0.24770233209232084,10,1
201,adaptive_2,2,True,0.9999999999999993,0.9999999999999993,-1.1102230246251565e-16,22,4
201,static_4,4,False,,1.179509563667096,0.5466890504317717,20,1
201,adaptive_4,4,True,0.9999999999999993,0.9999999999999993,3.3306690738754696e-16,30,5
201,static_8,8,False,,1.0606058461975088,0.16938952903131932,40,1
201,adaptive_8,8,True,0.9999999999999998,0.9999999999999998,4.440892098500626e-16,44,4
201,full_disclosure,18,True,1.0,1.0,4.440892098500626e-16,90,1
202,static_1,1,False,,1.5400022804733784,0.5480680613615712,5,1
202,adaptive_1,1,True,0.9999999999999998,0.9999999999999998,1.1102230246251565e-16,22,5
202,static_2,2,False,,1.4417053418622128,0.38147471675733846,10,1
202,adaptive_2,2,True,0.9999999999999998,0.9999999999999998,1.1102230246251565e-16,22,4
202,static_4,4,False,,1.1406562556134654,0.2561313115034868,20,1
202,adaptive_4,4,True,0.9999999999999998,0.9999999999999998,2.7755575615628914e-16,28,4
202,static_8,8,False,,1.0224930362059255,0.04882164533030431,40,1
202,adaptive_8,8,True,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,41,2
202,full_disclosure,18,True,1.0,1.0,2.220446049250313e-16,90,1
203,static_1,1,False,,1.613939103252966,0.7559477617850814,5,1
203,adaptive_1,1,True,1.0000000000000002,1.0000000000000002,3.3306690738754696e-16,29,7
203,static_2,2,False,,1.2918167091305923,0.39986662130820627,10,1
203,adaptive_2,2,True,1.0,1.0,2.220446049250313e-16,30,6
203,static_4,4,False,,1.106032916802917,0.22007254784785402,20,1
203,adaptive_4,4,True,1.0000000000000004,1.0000000000000004,2.220446049250313e-16,35,5
203,static_8,8,False,,1.0489927141894628,0.10423664838317209,40,1
203,adaptive_8,8,True,1.0000000000000002,1.0000000000000002,4.996003610813204e-16,50,5
